Produk/Variasi,SKU,Status,Stok
"Anchor Bracelet",,instock,0
"Blue Tshirt",,instock,0
"Green Hoodie",,instock,0
"Black Over-the-shoulder Handbag",,instock,0
"DNK Red Shoes",,instock,0
"Dark Blue Denim Jeans",,instock,0
"DNK Green Shoes",,instock,0
"Basic Gray Jeans",,instock,0
"Lemons Tshirt",,instock,0
"Purple Tshirt",,instock,0
"Boho Bangle Bracelet",,instock,0
"DNK Green Tshirt",,instock,0
"Blue Hoodie",,instock,0
"Bright Gold Purse With Chain",,instock,0
"DNK Black Shoes",,instock,0
"DNK Blue Shoes",,instock,0
"Faint Washed Denim Blue Jeans",,instock,0
"Black Hoodie",,instock,0
"Slim Fit Blue Jeans",,instock,0
"Gray Pattern Tshirt",,instock,0
"White Underground Tshirt",,instock,0
"Buddha Bracelet",,instock,0
"Red Hoodie",,instock,0
"Light Brown Purse",,instock,0
"Bright Red Bag",,instock,0
"DNK Yellow Shoes",,instock,0
"Dark Brown Jeans",,instock,0
"Dark Gray Jeans",,instock,0
"Blue Denim Jeans",,instock,0
"Blue Denim Shorts",,instock,0
"Flamingo Tshirt",,instock,0
